cond,i,M,S,R,s_ma,rho,beta,gpath,e0_p,e0_coef,e0_ok,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject,t_e1
M6_S10_R1_sma0.03_rho0.0_beta0.0,84,6,10,1,0.03,0.0,0.0,0.04,0.006495879881983166,-0.014269530055333362,True,0.24039750332204368,-0.02005415359697725,0.017081992557588407,True,True,0.0009192656844966282,0.0024767666832923624,0.000783456840762902,0.0010442044816906342,-0.020054153596978104,-0.05600053023851676,0.015522805267127479,False,True,-0.15055555555555555,-0.35279166666666667,0.06393055555555552,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,85,6,10,1,0.03,0.0,0.0,0.04,3.6972314000532546e-10,0.033404005323148585,True,0.029971593537339195,0.03198119719396284,0.014734717524644033,True,True,0.0008604022662438469,0.002457698910616432,0.0005652954749687369,0.0013072533551691556,0.031981197193959955,0.005248598662691452,0.05415023415265379,True,False,0.26388888888888884,0.0714444444444445,0.46334722222222224,True,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,86,6,10,1,0.03,0.0,0.0,0.04,0.9446984609440077,0.00040557366125767096,True,0.8102708756596162,-0.0038114276581684703,0.015875881640785225,True,True,0.0009189195980188694,0.005282744522976097,0.0006642388938147372,0.00154304479541838,-0.003811427658168755,-0.03258956650112242,0.02741259626709534,False,True,-0.04611111111111116,-0.26279166666666665,0.17113888888888892,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,87,6,10,1,0.03,0.0,0.0,0.04,0.9663722934079716,-0.0002569965734481532,True,0.9819220130425539,-0.0003971285302253063,0.017526044822686288,True,True,0.0008665540144713968,0.001392241721860207,0.0008348313399332733,0.0012906873045632236,-0.0003971285302252198,-0.03574500866940324,0.033023360118533844,False,True,0.02444444444444449,-0.19612500000000002,0.2433611111111111,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,88,6,10,1,0.03,0.0,0.0,0.04,0.01827736934032768,-0.01305500692178801,True,0.4992907622162178,-0.010256773162223867,0.01518158736924032,True,True,0.000884772835509591,0.003877808675185841,0.0006029645015987023,0.0014255751474890833,-0.010256773162223306,-0.03991156004234301,0.01665375667208496,False,True,-0.06055555555555553,-0.25445833333333334,0.15168055555555549,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,89,6,10,1,0.03,0.0,0.0,0.04,0.019115837705804453,0.013710569444966018,True,0.0688425211258789,0.017024129198164976,0.009356735172327036,True,True,0.0009403081550068542,0.0029164343964961027,0.00016861466375448894,0.0028027395963477753,0.017024129198164175,-0.0033577169196048052,0.03602576009590946,False,True,0.10833333333333334,-0.10726388888888894,0.2956944444444443,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,90,6,10,1,0.03,0.0,0.0,0.04,0.053050280742826854,-0.010182815450424513,True,0.24449946987123505,-0.015994050759979877,0.013742791562745505,True,True,0.0008597298378705644,0.002068322634899697,0.0004806199760241633,0.000976759007397516,-0.01599405075998085,-0.052899936782605704,0.013534712778228705,False,True,-0.1655555555555555,-0.36890277777777775,0.03227777777777772,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,91,6,10,1,0.03,0.0,0.0,0.04,0.021295024314054008,-0.014789979122928008,True,0.39799461039645256,-0.01200764935116615,0.01420673568136011,True,True,0.0009387141706463617,0.004720594492191284,0.000511622599095448,0.001825921443755449,-0.01200764935116581,-0.04599179431608408,0.01852792440504799,False,True,-0.012777777777777777,-0.20336111111111113,0.20672222222222222,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,92,6,10,1,0.03,0.0,0.0,0.04,0.6780496983083999,0.0024587840125802818,True,0.8281949502833259,0.003017279276379056,0.01390341156140793,True,True,0.0009286029337344234,4.728559781863664e-06,0.0004870542657641739,0.0013734998346750444,0.003017279276379728,-0.02398415955215458,0.03600483745334861,False,True,0.0494444444444444,-0.1544861111111111,0.24333333333333335,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,93,6,10,1,0.03,0.0,0.0,0.04,0.005278728049689524,-0.015168794460708816,True,0.08315388089251233,-0.014695159819212683,0.008481209891212973,True,True,0.0008835795542455766,0.00041233560852947464,0.0001274348082318687,0.0013559952301398393,-0.01469515981921255,-0.04527564334125098,0.01159317245150737,False,True,-0.16666666666666669,-0.36890277777777775,0.05672222222222215,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,94,6,10,1,0.03,0.0,0.0,0.04,0.5827950527047929,-0.003342046402239213,True,0.8297423418049608,-0.0024225144016480292,0.011265830196190724,True,True,0.0008258364680542403,0.0040123269290955384,0.00029817314322277727,0.0023450353807577475,-0.002422514401649115,-0.03147118489752481,0.022966483269253855,False,True,-0.03722222222222227,-0.23836111111111105,0.17001388888888885,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,95,6,10,1,0.03,0.0,0.0,0.04,0.0023177896927941534,0.01727860937283552,True,0.3955681212115888,0.014636384229145923,0.01722813398310248,True,True,0.0008993697078244499,0.0033778973910678117,0.0008004888308366584,0.0017667825478206798,0.014636384229142905,-0.02161101802776367,0.05259496877096722,False,True,0.11888888888888888,-0.09673611111111112,0.32390277777777776,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,96,6,10,1,0.03,0.0,0.0,0.04,0.024198607767113522,-0.014030627659399395,True,0.47712725720784643,-0.00973652113391004,0.013695459803352088,True,True,0.0009014285237812883,0.007237958516231942,0.000472554005297583,0.0015541673908949975,-0.009736521133910143,-0.040266475181979705,0.017769116869173266,False,True,-0.0905555555555555,-0.3033333333333333,0.1122361111111111,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,97,6,10,1,0.03,0.0,0.0,0.04,0.4790406656162809,0.004025919269852838,True,0.7240580709817077,0.004136982413667863,0.011718152163818928,True,True,0.0008608715971300325,0.008586325237564706,0.00032585811069023,0.0013431596219674314,0.0041369824136675126,-0.02103002137722897,0.03194727318053001,False,True,0.0,-0.22444444444444445,0.18947222222222224,False,0.0
