cond,i,M,S,R,s_ma,rho,beta,e0_p,e0_coef,e0_ok,t_e0,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1_vc_path_arm,t_e1,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject
M6_S5_R3_sma0.03_rho0.0_beta0.05,78,6,5,3,0.03,0.0,0.05,1.0582259779065713e-47,0.05160902198070274,True,1.4469218254089355,0.03045209777865066,0.05155234842257748,0.023820954287058965,False,True,0.0008757528196551905,0.0037631885867592035,0.001606196622801661,0.00013724550125287846,3.1444537774066095e-05,1.6764981746673584,0.051552348422645715,0.023031956492310848,0.0796830273332201,True,True,0.34716049382716047,0.18764814814814812,0.4950925925925926,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,79,6,5,3,0.03,0.0,0.05,1.2394707865211055e-80,0.06518894827595965,True,0.6811313629150391,7.597761821727298e-06,0.06701267880244421,0.014970832232721878,True,True,0.0008487044595865927,0.0011793423689196892,0.0005916404706655898,9.539266266246688e-05,2.0130571041504412e-05,4.194143772125244,0.06701267880246889,0.041189182762978234,0.09379469750418941,True,True,0.6409876543209876,0.5100925925925925,0.7587777777777777,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,80,6,5,3,0.03,0.0,0.05,3.2906410152836977e-72,0.06338014508338778,True,1.4779465198516846,6.55791081646173e-05,0.06088704959567772,0.015253106298398416,True,True,0.0009398296270810596,0.0014779477122831772,0.0005991714905127098,8.14063296184373e-05,3.012079688819006e-05,3.815183639526367,0.060887049595664995,0.03201180632102688,0.08816546054829351,True,True,0.5333333333333334,0.3938024691358025,0.6605061728395062,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,81,6,5,3,0.03,0.0,0.05,5.400088529138555e-63,0.05620073583854467,True,1.1744935512542725,0.0008511159257887558,0.05348322332225359,0.016034001921211405,False,True,0.0008280870659139748,0.0015652479835693157,0.0006654500061666108,4.690646019089311e-05,4.2176535222985334e-05,4.637345552444458,0.053483223322268875,0.024933215906599453,0.07771586461010827,True,True,0.46370370370370373,0.3179753086419753,0.5990246913580247,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,82,6,5,3,0.03,0.0,0.05,4.515619854170589e-65,0.05764424564447934,True,1.075904369354248,0.006693025851146838,0.06316134774247478,0.023291781019752503,True,True,0.000880506831729806,0.005487595377029366,0.0015182402107512705,7.061260661525704e-06,4.2150435847576246e-05,3.7109570503234863,0.06316134774248514,0.036337819671122505,0.08481532092149102,True,True,0.4412345679012346,0.2935802469135802,0.5916049382716049,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,83,6,5,3,0.03,0.0,0.05,7.020693244107155e-87,0.06181596952840675,True,0.5974268913269043,1.841490673071653e-06,0.0635549344872068,0.013323650870258651,False,True,0.0008457089842699191,0.002101690006086669,0.0003394468957203569,2.417894161557862e-05,0.00011394293572159065,3.907776117324829,0.06355493448719991,0.04618379417621337,0.07661094641153457,True,True,0.5464197530864197,0.40518518518518515,0.6735864197530865,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,84,6,5,3,0.03,0.0,0.05,5.417060473215815e-49,0.051701664186963724,True,1.7085888385772705,0.0005880217251693366,0.05501558458653847,0.016006489031819778,True,True,0.0008907821523510154,0.0012454736175499543,0.0006510666804952268,2.3575832568307076e-05,4.847576338213289e-05,2.9527926445007324,0.05501558458653081,0.02959467000232383,0.08542657464262987,True,True,0.5390123456790124,0.396537037037037,0.6760987654320988,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,85,6,5,3,0.03,0.0,0.05,1.9557112465867864e-51,0.05100466144461524,True,0.7700119018554688,4.900827295955262e-05,0.05167999274678476,0.012728100393048721,True,True,0.0008107623162971504,0.0005368289655919351,0.0003262961647859761,2.628701684219942e-07,8.8055527478267e-05,2.5743556022644043,0.0516799927467612,0.02781765526748407,0.07195381292907653,True,True,0.651358024691358,0.525425925925926,0.7696358024691359,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,86,6,5,3,0.03,0.0,0.05,3.433018697386079e-27,0.03994887743500583,True,1.262528657913208,0.09573970327987198,0.04297163443985879,0.0257953413874435,True,True,0.0008987394089421453,0.004116503852162294,0.0018931892693289393,0.00010792966835782297,3.5911401630719434e-05,3.6381685733795166,0.04297163443981241,0.011313135791551422,0.07794762033951694,True,True,0.2646913580246914,0.11080246913580245,0.4202469135802469,True
M6_S5_R3_sma0.03_rho0.0_beta0.05,87,6,5,3,0.03,0.0,0.05,1.2614034228722807e-48,0.049037352123065675,True,1.1837162971496582,5.654615523791378e-07,0.051234421829149474,0.010241446654365697,False,True,0.000951087026121731,0.0005846772965377286,9.406619156302204e-05,8.428689828845939e-05,0.00013099141284849265,1.9781155586242676,0.05123442182915107,0.03019487583524561,0.06956614006623266,True,True,0.6390123456790124,0.5058703703703703,0.7486728395061728,True
