ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
BLK,176,0.8585338446678159,0.8742092029205996,95.43151766583019,108.27559150504852,0.14274087822459144,0.013320516357505018
BMY,124,0.8992009810023612,0.9260272881869293,137.000166368531,189.4052350129031,0.6334352297128338,0.055009603029920626
BRK-B,167,0.9889885213166212,0.995,1314.6100782994915,2903.9340327072778,0.24581658927640632,0.013733855891991964
BRO,164,0.9830460998058372,0.995,851.270074910125,2903.9340327072778,0.34813552404490755,0.013022621590569945
BWA,177,0.8926741311001205,0.909718337007663,128.2094516606894,153.83695593229223,0.4796587829854017,0.042730459857838556
BXP,108,0.9335182173944061,0.970273986564995,211.58707594135137,482.36052417407,0.4082721976218109,0.03717927842979871
C,90,0.9214738613373615,0.9678781097628731,177.9889504230893,445.8341022236732,1.1506969369383397,0.06683425329834601
CAG,99,0.8621397549342451,0.8925496382990773,98.12793292631224,128.05214622746485,0.31473040360805715,0.03837391879092655
CAH,114,0.9332802072387865,0.9626087165344221,210.80570939976502,381.9667477622509,0.48204553437520514,0.03968652479754045
CB,167,0.9196219007523256,0.9396664770775851,173.71556059692028,233.90688889425525,0.2536898243726411,0.023386913301332905
CCI,155,0.9542969269457092,0.9773486336486494,311.15781664071733,635.3084122653036,0.6589180996440573,0.04445789879415655
CCK,129,0.8798680846692454,0.906452969788375,113.73431005128127,148.20468501365988,0.2510062438912526,0.034296973845883996
CCL,63,0.9565157856522726,0.995,327.4122801871406,2903.9340327072778,0.4198597931840488,0.025010762172990805
CDNS,165,0.9200447748692776,0.9401283548851518,174.6739102159516,235.7686802867465,0.47590136251876514,0.03935078623355402
CHD,164,0.9509919476761131,0.9736615229589399,289.67527201797856,545.3445689265452,0.43918805904138936,0.02420367435169266
CHRW,176,0.9669068093032649,0.9881833076975608,432.5326708248899,1224.5320105450357,0.3295153883474278,0.016999696205080794
CI,71,0.9364371199797819,0.9867134750882305,221.6453077026275,1088.2586219751545,0.3337593039555207,0.025956282345899695
CIEN,70,0.9820105630468371,0.995,801.8464816631134,2903.9340327072778,0.42146705967822207,0.06637382923726266
CINF,138,0.797529561399378,0.8169358095757067,64.34018683226087,71.99044675651999,0.6536726138799881,0.1233358979309907
CL,177,0.9674795604858174,0.9889388908601351,440.280070626778,1308.6787336131704,0.38467181895675345,0.02043752457729217
CLX,176,0.939585829070533,0.9579270847914477,233.58472176016352,338.64277155853756,0.576209612242294,0.0437621968032559
CMCSA,177,0.9225432075195289,0.9403050441222717,180.54946900968565,236.48851626532206,0.34294563866687783,0.028219644068238604
CMI,177,0.8495014206719999,0.8652454852188146,89.24331810507958,100.56576077698605,0.3009048177364809,0.03385189568938311
CMS,155,0.90936707768885,0.9284658029202676,153.21162142492375,196.1162980723148,0.1932812767464653,0.017575759370223196
CNP,66,0.8861558491013298,0.9457835574246095,120.43518697645872,261.1354552111364,0.4995153572215742,0.05295401400096951
COF,123,0.803002947916848,0.8259713486256377,66.34592920693287,76.13209603579358,0.4010485873533253,0.04143452326092188
COO,163,0.9344607110240883,0.955444551053154,214.73690918256352,319.3627556378356,0.6385088852814353,0.055014164247535274
COP,66,0.9569338515045065,0.995,330.66234946324755,2903.9340327072778,0.25131186414316653,0.03540435500490098
COR,60,1.0760547371282139,0.995,inf,2903.9340327072778,0.9015499053609611,0.059884492758958734
COST,175,0.931514437342896,0.949549118794278,205.17837883166231,281.17921288072625,0.15579676613249885,0.012337381212156445
