lb_p_r,acf1_r,abs_acf1_r,kurtosis,jb_p,hill,lb_p_absr,lb_p_r2,arch_lm_p,acf1_absr,acf5_absr,acf10_absr,acf20_absr,acf50_absr,garch_alpha,garch_beta,garch_persistence,gjr_gamma,leverage_corr,volume_absr_spearman,logvolume_acf1,logvolume_shapiro_p,skew,worst_day,best_day,worst_over_best,mdd,daily_sigma,scenario,seed,n_returns
0.16986220944168415,-0.03028896217858707,0.03028896217858707,1.0109515146216035,0.004389624430401992,3.1828136676218324,0.5818242410461822,0.5522020412561869,0.43689464755133256,0.02791090082925325,-0.13519841326338472,-0.10792075886531842,-0.11991055599001124,-0.02958739385480895,2.454102763610921e-13,0.9567770655664779,0.9567770655667233,-0.2477090160673837,0.05768120032677532,0.12262067915334247,0.5244330795804257,0.37048001181581797,-0.26803300606807395,-0.04931003564425129,0.05524212062135714,0.8926166318312472,-0.1648608020925627,0.015716040664571777,flat,40021,199
0.7883497172857599,0.019499134181364067,0.019499134181364067,1.4397539642662922,6.968867696708764e-06,5.531955175134546,0.714143419002041,0.5252954440165939,0.5324162912019447,0.12970912403517496,-0.0020570513090321274,0.006888293529394892,-0.03960228858216778,0.06399175611793911,0.0,0.9779260304396087,0.9779260304396087,-6.565008937062697e-12,0.1355623804651505,0.17256281407035176,0.643461288179903,0.4439709231386817,0.4447479247152862,-0.0557666112155033,0.08599122854157315,0.648515112079629,-0.4474223693636342,0.02037730066641304,flat,40022,199
0.9373285351636049,0.007172871563682807,0.007172871563682807,0.9987335119335747,0.0007645980001664243,3.290447134754291,0.7935646482623216,0.1540632789168482,0.7666622326706402,-0.038929231832791684,-0.04087537415538371,0.11571987303527895,0.02648823182541868,-0.030563035868471946,0.012538255007865491,0.9486164304406279,0.9611546854484935,-0.029701086098376135,0.125075317197811,0.21783310491853206,0.5526802953938386,0.24159973785444355,-0.4282127165406671,-0.06916780571755865,0.054490108692847095,1.2693644291929682,-0.1483968094671092,0.017929426197091834,flat,40023,199
0.34567646857938195,0.06355214886246091,0.06355214886246091,0.5159432805149953,0.33031081843804905,5.556466303237494,0.716063087207885,0.860287349505608,0.628486203602422,0.035191960820097706,-0.09786337360739385,0.07180243114039271,0.0004732572363889941,-0.061282523884892866,1.1443450769712933e-16,0.9927431421531931,0.9927431421531933,0.1488974517459804,-0.09329569231500405,0.2579503578498553,0.5352149039376947,0.07881427178607403,-0.01574454627950116,-0.06006541749316696,0.05617948402542616,1.0691699743269638,-0.19737283678565298,0.01839477645506226,flat,40024,199
0.8786548479251959,-0.01846457027034918,0.01846457027034918,1.1869905719778018,0.00035878386308299906,3.8609136773994304,0.6316305815846732,0.9279077517611943,0.8143832531547849,-0.00038925851181434293,0.008736116796423443,0.05872984430034659,-0.06451418536069718,-0.12982565976367136,4.5757682080217307e-10,0.9801637860173532,0.9801637864749301,-0.12124179302315469,0.04761609010829676,0.35573168874676414,0.5490554027083483,0.1817358994788531,-0.3551373900606197,-0.0765097123837375,0.07455543629450379,1.0262123888795187,-0.37029557572567484,0.02166693203768196,flat,40025,199
0.7359307771854231,-0.09251215349695276,0.09251215349695276,0.43890383692440027,0.12185620206895388,4.7229767132264895,0.8195060288172986,0.8456546699648462,0.5223053256856602,-0.10978062170531584,-0.028479645548086494,0.024842638959785463,-0.007568685511738484,-0.0601304866532966,4.9354812834405384e-11,0.9999999999421538,0.9999999999915087,1.3068443008319353e-10,0.052098161327729195,0.2977919902543018,0.48071043195827196,0.9183089709813879,0.2806605046311489,-0.05143619217903961,0.07062324115584051,0.7283182042797799,-0.19491428228016672,0.021296641310901556,flat,40026,199
0.914580013427887,0.06913203357435144,0.06913203357435144,37.79063091626164,0.0,2.753888690406965,0.9458820389629474,0.9999981994762734,0.9997280569810049,0.011150565515023508,0.0473611118374887,-0.023454787987897966,-0.031825174815831504,0.00649371079273714,3.4151530041131444e-07,0.9342843698771142,0.9342847113924145,-4.4057578459041023e-10,-0.017201993281058665,0.16093802345058628,0.5267601687858846,0.01548029940659215,-3.9957551816071746,-0.25670745257869054,0.06185549727992257,4.1501154120058175,-0.3139628773196882,0.027234054844605646,flat,40027,199
0.9752722208372,0.027002183681368794,0.027002183681368794,15.779548092597107,0.0,3.140140440262308,0.5246064823071586,0.9988375567854194,0.9772329871577317,0.1003884243646464,-0.07187985086511747,0.05122026398475761,-0.057461592153741144,-0.10042612277845865,0.4788528997858018,8.180883191623946e-17,0.47885289978580187,0.9772311997374421,-0.1695490635744189,0.2919384802801888,0.5824525187028894,0.06853032147550457,-1.9925757785509084,-0.20192736252639065,0.07718302786099684,2.6162145762155475,-0.27373268054899036,0.026706563165009134,flat,40028,199
0.008453390441111416,-0.26262053591804224,0.26262053591804224,5.344567964924504,3.797868721386866e-61,3.703873284759169,0.18026326146985627,0.8106292133698938,0.42934474423249747,0.21144291245902253,0.03250423549929854,-0.03195586567275858,0.030046256837782007,-0.04639663071602652,0.09617244190440509,0.8770521150598727,0.9732245569642778,4.3220326448370786e-10,0.0069911856014662575,0.3775011420740064,0.5136926368443314,0.9606523028967268,-1.1172466439285196,-0.16956863239557407,0.08577878081376333,1.976813272314154,-0.44541712629610275,0.028949603812368708,flat,40029,199
0.5643944497002085,0.07800927159186181,0.07800927159186181,0.7324727907962187,0.008765347727446767,4.646207805774019,0.1378762266379267,0.06831646273343639,0.5164904797039621,0.10456334803576588,0.049093892917109035,0.08557239185171228,0.03868911319156618,-0.0915873114006378,0.07796254543959513,0.8600469898902299,0.938009535329825,0.09350683003138839,-0.1668855157642692,0.1284650525354043,0.597236553649563,0.7840924727540504,-0.3892506568900916,-0.06943892463810108,0.046559146904244564,1.4914131648698805,-0.33421129735253885,0.018991444853225098,flat,40030,199
