feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,mlp,x,calm,119419,-0.47516521576253834,-0.7124143375868605,-0.29502032702291087,0.8343974339392088,32735.0,0.8204115479198317,0.8482925128186447,-0.16285338388142434,,,,-1.1140224908565668,0.6388572750940285
full,mlp,x,event,111857,0.7981419617034384,0.7841410704470569,0.812452291533433,0.9379194820775751,88353.0,0.9324313056218398,0.9430053733111248,-0.16760487633441445,,,,0.5644780345676228,0.23366392713581563
full,mlp,x,resolution,56724,0.596297052300915,0.5652307941648395,0.6273676588885159,0.9214209800330145,44223.0,0.9126637367309924,0.9301324270860813,-0.17068554783918932,,,,0.2066306188740733,0.3896664334268417
full,mlp,x,all,288000,0.751772182209935,0.7381987678926557,0.7638557022630739,0.9130063940088682,165311.0,0.9084341899691792,0.917694947127463,-0.1646761899190452,,,,0.5173889488892685,0.23438323332066657
full,mlp,logV,calm,119419,0.4893708575417104,0.4518339399741413,0.5281341579347862,,,,,-0.10352481291669258,0.09665034478364219,0.09324176628954015,0.09999251433497236,0.3037517645947666,0.1856190929469438
full,mlp,logV,event,111857,0.4782743154208412,0.42551688041585417,0.5261766764061466,,,,,-0.171323019541322,0.11952658715243941,0.1146295499516864,0.12496682904056218,0.3764320205143499,0.10184229490649133
full,mlp,logV,resolution,56724,0.34431280957820265,0.27618600542347044,0.39150231289020243,,,,,-0.12332882221770647,0.14493849942643783,0.13758945911122047,0.1527067671407073,-0.07186780598813214,0.4161806155663348
full,mlp,logV,all,288000,0.5673922341156236,0.5420298572045101,0.5914355772891182,,,,,-0.13448490500112498,0.1150460570287967,0.11232486026546938,0.118213582127726,0.4049091228492292,0.16248311126639436
price_only,ridge,x,calm,119419,-0.5819278576706177,-0.7162430120994956,-0.47022324681222233,0.7224072094088896,32735.0,0.7022767638499641,0.7405999567324975,,,,,-0.5819278576706177,
price_only,ridge,x,event,111857,0.48420292965533096,0.4545778368210925,0.5117751225385531,0.9106991273640963,88353.0,0.903819566809175,0.9172618742564799,,,,,0.48420292965533096,
price_only,ridge,x,resolution,56724,-0.23451048739710534,-0.3183121464033537,-0.15314289555428265,0.6455916604481831,44223.0,0.6286487817749205,0.6633753158724691,,,,,-0.23451048739710534,
price_only,ridge,x,all,288000,0.4274338259026855,0.414375256273618,0.44246654828480686,0.8024934819824452,165311.0,0.7942556811984147,0.8109403366399983,,,,,0.4274338259026855,
price_only,ridge,logV,calm,119419,0.2445435454489635,0.20737298512513166,0.28207881591242373,,,,,,0.11004749114148024,0.10577413076482607,0.11403996537099409,0.2445435454489635,
price_only,ridge,logV,event,111857,0.41548346395827906,0.3688482712334977,0.45087490013233106,,,,,,0.12371228340960441,0.11899332069797568,0.12933640658355858,0.41548346395827906,
price_only,ridge,logV,resolution,56724,-0.3297806106453611,-0.44018812304786215,-0.2443146916652874,,,,,,0.22650680824018693,0.21392728074026807,0.23847506416585212,-0.3297806106453611,
price_only,ridge,logV,all,288000,0.35249140957029124,0.33600045471888135,0.36739906567302294,,,,,,0.13829242507148926,0.13471785094053612,0.14204307674949138,0.35249140957029124,
price_only,gbt,x,calm,119419,-0.8230797109478853,-1.0184749940357898,-0.6690703199512367,0.7133648999541775,32735.0,0.6918234147554516,0.7321360314742752,,,,,-0.8230797109478853,
price_only,gbt,x,event,111857,0.5136083647856955,0.4824980722882564,0.5422051245337463,0.911004719703915,88353.0,0.9042759140598831,0.9176303249268627,,,,,0.5136083647856955,
price_only,gbt,x,resolution,56724,0.13510729898858886,0.06372572717433898,0.19208936215550132,0.7705040363611695,44223.0,0.7556111362794263,0.7865187280498271,,,,,0.13510729898858886,
price_only,gbt,x,all,288000,0.48535762638709334,0.4705528022676792,0.5002765781250628,0.8342820501962966,165311.0,0.8270046793352125,0.8410904420363167,,,,,0.48535762638709334,
price_only,gbt,logV,calm,119419,0.28709209801929825,0.25443566652078914,0.3186209682269515,,,,,,0.10722212373507739,0.10308779710412849,0.11100313300349862,0.28709209801929825,
price_only,gbt,logV,event,111857,0.367816458910039,0.3178507036881288,0.40823316379308644,,,,,,0.12956587677758696,0.12456764332432564,0.1354003057449715,0.367816458910039,
price_only,gbt,logV,resolution,56724,-0.10272710703151566,-0.17702784887172918,-0.04586228700850245,,,,,,0.1994718973175923,0.18825920411173588,0.21126734732461766,-0.10272710703151566,
price_only,gbt,logV,all,288000,0.39170071418066865,0.37431299600760864,0.40751071859769344,,,,,,0.13406962839053074,0.13054466549090807,0.13749590534374512,0.39170071418066865,
price_only,mlp,x,calm,119419,-1.1140224908565668,-1.348094392468472,-0.9330189138969532,0.6949137009317244,32735.0,0.6724849444760209,0.7140182233939335,,,,,-1.1140224908565668,
price_only,mlp,x,event,111857,0.5644780345676228,0.535718941184323,0.5915646463007854,0.9136758231186264,88353.0,0.9076682709679321,0.9201295126539184,,,,,0.5644780345676228,
price_only,mlp,x,resolution,56724,0.2066306188740733,0.14636631169231648,0.26059135853155424,0.8016869050041834,44223.0,0.7883936414212366,0.8171274445952238,,,,,0.2066306188740733,
price_only,mlp,x,all,288000,0.5173889488892685,0.502590936015715,0.5321615938864127,0.8403977956699796,165311.0,0.8336699778918621,0.8475807380575765,,,,,0.5173889488892685,
price_only,mlp,logV,calm,119419,0.3037517645947666,0.2700905353419661,0.33434401843451195,,,,,,0.10662177195328149,0.10283198825661333,0.110076935852085,0.3037517645947666,
price_only,mlp,logV,event,111857,0.3764320205143499,0.3237712693545186,0.4191652829132601,,,,,,0.1290777794869131,0.12437814439028554,0.13485019125787248,0.3764320205143499,
price_only,mlp,logV,resolution,56724,-0.07186780598813214,-0.14535515857335748,-0.016826558358805185,,,,,,0.19490841335514617,0.18441156205791548,0.20504761597276217,-0.07186780598813214,
price_only,mlp,logV,all,288000,0.4049091228492292,0.38584037907726143,0.42292834899012216,,,,,,0.13273230348650647,0.12947915920993638,0.13594372434250954,0.4049091228492292,
