feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,gbt,x,resolution,73422,0.9376937042358247,0.9305223565482842,0.9439073511015478,0.9700018661358547,64304.0,0.9643409101175353,0.976111658342887,-0.05199892141550566,,,,0.40586407372543587,0.5318296305103888
full,gbt,x,all,288000,0.9274707393802422,0.9227752042486058,0.9319202545661865,0.9442456304133603,212091.0,0.9396636312225373,0.9483946655890808,-0.047111338450425144,,,,0.5272085874587782,0.40026215192146397
full,gbt,logV,calm,119663,0.5738772282950437,0.5364920541022944,0.6102385729332644,,,,,-0.041514781691913916,0.09828933718137389,0.09496611572338381,0.10198521000432514,0.20050727153049885,0.3733699567645449
full,gbt,logV,event,94915,0.5119896691807792,0.48270378341745224,0.5421177898525167,,,,,-0.07082542312711748,0.122388467738247,0.1173383046847407,0.1278926696251201,0.3455782266641748,0.16641144251660434
full,gbt,logV,resolution,73422,0.16898725918554425,0.11311050238316869,0.2200420432784925,,,,,-0.07848080799027879,0.1718719691683066,0.16454985500720273,0.17963379396658477,-0.09293423004001622,0.26192148922556047
full,gbt,logV,all,288000,0.5291131454388797,0.5091601719187947,0.5513694750240132,,,,,-0.060929792168782804,0.12499056281522869,0.12132274413836688,0.12870245537693917,0.3037641292466441,0.22534901619223557
full,mlp,x,calm,119663,0.7152238215630058,0.6780244680424031,0.7472112577965692,0.9080212105930714,65439.0,0.897351258192386,0.9180299961055203,-0.1600035174906398,,,,0.07497679870551699,0.6402470228574888
full,mlp,x,event,94915,0.9008838287122811,0.885620776538891,0.911547161467613,0.9468475251372225,82348.0,0.9416313305686252,0.9517139233770732,-0.19074609981821644,,,,0.7082068595687278,0.19267696914355337
full,mlp,x,resolution,73422,0.8885378084218966,0.8783088597767914,0.8980621570009825,0.9657564070664344,64304.0,0.9597240916381553,0.9726623598848056,-0.196111930838345,,,,0.5064231616301382,0.38211464679175833
full,mlp,x,all,288000,0.8752114938579232,0.8646112015582085,0.8838819931486891,0.940600968452221,212091.0,0.9358150608027076,0.9448483621052703,-0.1817391391532177,,,,0.570389444708115,0.30482204914980815
full,mlp,logV,calm,119663,0.4869018442220241,0.44115324982508547,0.532858774643709,,,,,-0.0935464425091932,0.10787448935770044,0.10411587740354158,0.11151122800986517,0.19564530197413843,0.29125654224788566
full,mlp,logV,event,94915,0.47797382351356077,0.44165696881439415,0.5096469533487797,,,,,-0.14590696055265084,0.12750828175756057,0.12259703770723376,0.13285083977997414,0.35094813677220393,0.12702568674135684
full,mlp,logV,resolution,73422,0.04343446959347208,-0.02477540830600409,0.10678361418263084,,,,,-0.1533717427487835,0.185060766731105,0.17812817052214505,0.1925456944150108,-0.0414559631074114,0.08489043270088348
full,mlp,logV,all,288000,0.46358792442369756,0.4400028764612226,0.48775192799439354,,,,,-0.1271320024359912,0.13402279582625196,0.13048974303273175,0.1374314588494643,0.3155597975629628,0.14802812686073474
price_only,ridge,x,calm,119663,-0.002287728735843597,-0.04458809341389866,0.035647973052681775,0.5773009978758844,65439.0,0.5589884490525019,0.5946565885588387,,,,,-0.002287728735843597,
price_only,ridge,x,event,94915,0.6349274560922972,0.6150054349623439,0.6562536892376243,0.8362801768106086,82348.0,0.8261690311798611,0.8466536639278963,,,,,0.6349274560922972,
