feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,gbt,logV,calm,119440,0.8592549589813359,0.8415847111305542,0.8731719476066288,,,,,-0.03279491526566458,0.03323496825730923,0.03220206164585665,0.03432794465226405,-0.010078231312717678,0.8693331902940535
full,gbt,logV,event,97998,0.7999127079579436,0.7864522192681952,0.8130735138603599,,,,,-0.02811566240823704,0.045373870281052366,0.04397993373505901,0.04674748709222287,0.5134242524243106,0.286488455533633
full,gbt,logV,resolution,70562,0.8282178100147591,0.8121912098887972,0.8418076242686124,,,,,-0.06541005380570142,0.047461721749530436,0.045888880290136706,0.04914017295470922,-0.5168233216135738,1.3450411316283328
full,gbt,logV,all,288000,0.8925425070397526,0.8858639163425669,0.8999591901460534,,,,,-0.03735434569541285,0.040851135967173456,0.039942513911427814,0.041832542065990505,0.376046314682014,0.5164961923577386
full,mlp,x,calm,119440,0.8956697231578821,0.8735696153554073,0.9127889586258636,0.9735931768705455,67066.0,0.9683298301832434,0.9781571602523885,-0.129465636363995,,,,0.4034835339306032,0.49218618922727886
full,mlp,x,event,97998,0.9589717626334167,0.9558665461750534,0.9621729593405608,0.9812270423583019,86028.0,0.9785722937269031,0.9839341113109746,-0.15706928946910215,,,,0.7119188792313681,0.24705288340204856
full,mlp,x,resolution,70562,0.9220151650745169,0.9121638629867184,0.9302001653964134,0.9883754214108518,62884.0,0.9855667402416247,0.991058850480421,-0.150894181210266,,,,0.505778211804172,0.4162369532703448
full,mlp,x,all,288000,0.9393905470599004,0.9346847176224303,0.9436177802010869,0.9809378733019104,215978.0,0.9788251240112307,0.982843831662852,-0.14428366073784238,,,,0.6116723233568376,0.3277182237030628
full,mlp,logV,calm,119440,0.7758427450939978,0.744821440663068,0.8045421888115021,,,,,-0.13062050611769482,0.03988920158479778,0.03830216846855057,0.04149725169505523,0.025977295975469494,0.7498654491185283
full,mlp,logV,event,97998,0.7085737564024737,0.6886376005348872,0.7287818820287782,,,,,-0.13047218002566807,0.05399997774076266,0.05208095339775652,0.055588926410336394,0.4984197109456566,0.21015404545681704
full,mlp,logV,resolution,70562,0.7103609628791234,0.6840175595016743,0.7315645595852219,,,,,-0.18807315253784695,0.06219936466422124,0.060067634163407976,0.06479861511842094,-0.34451087584575735,1.0548718387248808
full,mlp,logV,all,288000,0.8315718269709615,0.8193305807577892,0.8435320494524385,,,,,-0.14510076187605492,0.050156832032514864,0.04890211979025415,0.05130926939191411,0.41404497528939455,0.417526851681567
price_only,ridge,x,calm,119440,0.1440284000892148,0.09467652244598791,0.19079605959773266,0.6891271285002833,67066.0,0.6693906659178467,0.7120940624647343,,,,,0.1440284000892148,
price_only,ridge,x,event,97998,0.6091085106068049,0.580965919317172,0.6355371890177257,0.880120425907844,86028.0,0.8713941293038643,0.8901554677289629,,,,,0.6091085106068049,
price_only,ridge,x,resolution,70562,0.2510283294212622,0.22053716489361996,0.27897597553611225,0.7411901278544621,62884.0,0.7237742897499183,0.7573609073946155,,,,,0.2510283294212622,
price_only,ridge,x,all,288000,0.44412407443416535,0.4216741320682905,0.4670474926677408,0.7803618887108872,215978.0,0.7715427218586989,0.7905761252194836,,,,,0.44412407443416535,
price_only,ridge,logV,calm,119440,-0.38125019043487907,-0.47715856509065957,-0.29840446488337447,,,,,,0.09275081621018008,0.08893851672132287,0.0964182146727973,-0.38125019043487907,
price_only,ridge,logV,event,97998,0.4496840928395456,0.4181228907630975,0.4779947264677957,,,,,,0.07693197629323675,0.07428509833669923,0.07968259418553768,0.4496840928395456,
price_only,ridge,logV,resolution,70562,-0.6976159742955879,-0.8493339571791259,-0.5865986043635962,,,,,,0.17108139072524564,0.1645365793095872,0.17848275523510476,-0.6976159742955879,
price_only,ridge,logV,all,288000,0.2432093774043741,0.2171716511816684,0.26792529910569474,,,,,,0.10655966108778926,0.10364725231749272,0.1096665672205277,0.2432093774043741,
price_only,gbt,x,calm,119440,0.3851031286786041,0.28091445610611765,0.47469654910810244,0.7388542629648406,67066.0,0.7145520142696592,0.765587317364569,,,,,0.3851031286786041,
price_only,gbt,x,event,97998,0.6771815877719167,0.651515774033679,0.6981631590369881,0.86449760543079,86028.0,0.8541789272147129,0.8755469115357288,,,,,0.6771815877719167,
price_only,gbt,x,resolution,70562,0.4108924298269837,0.38245130621898393,0.43855916435481296,0.8403727498250747,62884.0,0.8251676790203406,0.8549782879330388,,,,,0.4108924298269837,
price_only,gbt,x,all,288000,0.5643238354630948,0.5433041065471547,0.5843455243308757,0.8184583614997823,215978.0,0.8079030351389486,0.8306979363251779,,,,,0.5643238354630948,
price_only,gbt,logV,calm,119440,-0.010078231312717678,-0.054701155735988966,0.026810714056487904,,,,,,0.08249975430526865,0.07966790357110061,0.08528590157160255,-0.010078231312717678,
price_only,gbt,logV,event,97998,0.5134242524243106,0.4898326925248643,0.5349528289071982,,,,,,0.07154528504250218,0.06930921193943126,0.07409063871906005,0.5134242524243106,
price_only,gbt,logV,resolution,70562,-0.5168233216135738,-0.6439147808881563,-0.4194179640928222,,,,,,0.15693379256779172,0.15068566946496686,0.16374842245572063,-0.5168233216135738,
price_only,gbt,logV,all,288000,0.376046314682014,0.3585611437556241,0.3936714520015265,,,,,,0.09700912419786437,0.09455874663515845,0.09965211496709994,0.376046314682014,
price_only,mlp,x,calm,119440,0.4034835339306032,0.29431156895876986,0.4948759235747687,0.7376464974800943,67066.0,0.713522552553156,0.762886158386738,,,,,0.4034835339306032,
price_only,mlp,x,event,97998,0.7119188792313681,0.6858387742299923,0.7354475069718592,0.8713790858790161,86028.0,0.862587875984645,0.8814825542251206,,,,,0.7119188792313681,
price_only,mlp,x,resolution,70562,0.505778211804172,0.4748658587312686,0.5360870826274098,0.8691559061128427,62884.0,0.8564222677786548,0.8814255462369225,,,,,0.505778211804172,
price_only,mlp,x,all,288000,0.6116723233568376,0.5889546261667976,0.6317655347413926,0.8292048264175055,215978.0,0.819707012274088,0.8401504458169465,,,,,0.6116723233568376,
price_only,mlp,logV,calm,119440,0.025977295975469494,-0.020137600183965005,0.06540738751653771,,,,,,0.08250118651772938,0.07990317509656451,0.08516641221506528,0.025977295975469494,
price_only,mlp,logV,event,97998,0.4984197109456566,0.4710019885044862,0.5235672769286254,,,,,,0.07237453912962764,0.0702501882073123,0.07469960339784099,0.4984197109456566,
price_only,mlp,logV,resolution,70562,-0.34451087584575735,-0.45021704842321636,-0.2521675546568383,,,,,,0.14317623040654426,0.13724457098042392,0.14935842314569128,-0.34451087584575735,
price_only,mlp,logV,all,288000,0.41404497528939455,0.3954154064841883,0.4322450917640196,,,,,,0.09392119087933828,0.09168147312680235,0.09625064795226464,0.41404497528939455,
