feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,gbt,x,resolution,70562,0.9556369432687513,0.9506013449070646,0.9597223196355593,0.9900292602251766,62884.0,0.9871866999500677,0.9930220470905442,-0.03967177935319266,,,,0.9040186804840554,0.051618262784695834
full,gbt,x,all,288000,0.960183481928929,0.9571822986293019,0.9629205815237666,0.9827899137875153,215978.0,0.9802439573889689,0.9848167128545389,-0.027406428385025938,,,,0.9091377572254036,0.05104572470352542
full,gbt,logV,calm,119440,0.8586264341091507,0.8404345257956457,0.8728393532328977,,,,,-0.028303141815894328,0.033331656668212986,0.032257911908673845,0.03443374337480024,0.628166999773791,0.23045943433535976
full,gbt,logV,event,97998,0.8006585034509184,0.7871678240499939,0.8142194868462563,,,,,-0.04246303046942024,0.045186818834967044,0.043777492604120706,0.046551682824699216,0.5851221244666731,0.21553637898424527
full,gbt,logV,resolution,70562,0.8276364584589891,0.8121480020482926,0.8409861498812884,,,,,-0.055097061082574506,0.047510523475503774,0.04590632617928294,0.049214065347809414,0.6372397878393172,0.19039667061967191
full,gbt,logV,all,288000,0.8924461751154744,0.8855910201629946,0.8997874726930276,,,,,-0.03717881700394199,0.040839543410135265,0.03996571968903329,0.04175785444171371,0.7576692903288309,0.1347768847866435
full,mlp,x,calm,119440,0.8979483917837277,0.8767522484119058,0.9151395793038569,0.9726985357707333,67066.0,0.9671693078491183,0.9774543584287718,-0.16374121545899212,,,,0.8129750026409315,0.08497338914279617
full,mlp,x,event,97998,0.9584826483915786,0.9555482886349692,0.9617033495339633,0.9826103129213745,86028.0,0.980310666927306,0.9853006300354332,-0.1570333573230831,,,,0.9379586511394227,0.020523997252155923
full,mlp,x,resolution,70562,0.9221998336709532,0.9117093208042973,0.9304948866634813,0.9894885821512627,62884.0,0.9863926417920156,0.9920638906940791,-0.16763799802966384,,,,0.9009525234975182,0.021247310173434952
full,mlp,x,all,288000,0.9395602945095254,0.9350695370398686,0.9437930752879855,0.981535156358518,215978.0,0.9792489533934211,0.9833497873941256,-0.1614363943542103,,,,0.9085250330912293,0.031035261418296045
full,mlp,logV,calm,119440,0.7543042102906237,0.7182196250860255,0.7893554156408683,,,,,-0.12327663595948124,0.041166524651640245,0.03956329590354946,0.04299996097650103,0.5980971235002063,0.1562070867904174
full,mlp,logV,event,97998,0.7084568460484338,0.6854747228253127,0.7300391449233729,,,,,-0.1440608156133707,0.05364791394299037,0.051887139377599256,0.05530777468584337,0.5672618219969703,0.14119502405146356
full,mlp,logV,resolution,70562,0.7006001821023753,0.6720436790723273,0.7229137171757678,,,,,-0.16773324600537043,0.06278192614276808,0.0603694100770968,0.06537443508582634,0.6013222397673583,0.09927794233501697
full,mlp,logV,all,288000,0.8247635639461403,0.8117010730973885,0.8384683503720126,,,,,-0.14022290138550364,0.05070950085924681,0.04944247497895868,0.05192112768889431,0.7401444993025514,0.08461906464358881
price_only,ridge,x,calm,119440,0.5250912710602766,0.46867905289058515,0.5706882933942211,0.9579369576238332,67066.0,0.9502536643503326,0.964947933929103,,,,,0.5250912710602766,
price_only,ridge,x,event,97998,0.9090359243284638,0.902751697194239,0.9163002139908898,0.9574208397266006,86028.0,0.9526211589601871,0.9627688840882896,,,,,0.9090359243284638,
price_only,ridge,x,resolution,70562,0.8816181873641722,0.8677860815670739,0.8929636679058843,0.9853380828191591,62884.0,0.9815295401252028,0.9894523427861479,,,,,0.8816181873641722,
price_only,ridge,x,all,288000,0.8394053512020392,0.8261989873838845,0.85149127295352,0.9657094704090231,215978.0,0.9624098449689186,0.9693245021476771,,,,,0.8394053512020392,
